;Nß ORDEM:;;;PEDIDO:;;PRAZO:;;;;;;;;;;
;EQUIP.;;S150207 - CHAPA A GAS L700 720MM GN 720X750X270MM;;;;;QTDE;1;;;;;;;
;;;;;;;;;;;;;;;;
;Nß;QTD;X;Y;MATERIAL;DESCRIÄ«O;C‡DIGO;PROCESSO;QTD. TOTAL;;;;;;;
;46;2;52,13628;611,536603;#430-1,2-1000057;TRILHO DA BANDEJA L700;PPL700-PC15;LASER;2;;;;;;;
;47;1;657,368302;900,736603;#430-1,2-1000057;BANDEJA DOS QUEIMADORES;S150207-PC06;LASER;1;;;;;;;
;48;1;358;117,304459;#430-2,0-1000060;ACAB. FRONTAL CHAPA 720MML700;S150207-PC07;LASER;1;;;;;;;
;49;1;696,736603;125,368302;#430-1,2-1000057;FECHAMENTO ISOLAMENTO;S150207-PC08;LASER;1;;;;;;;
;50;1;565,363752;291,982138;#430-0,8-1000043;BANDEJA L700;PPL700-PC17;LASER;1;;;;;;;
;51;1;352;95,230488;#430-2,0-1000060;PUXADOR BANDEJA L700;PPL700-PC16;LASER;1;;;;;;;
;52;1;72,5855;47,169911;#430-2,0-1000068;SUPORTE DIREITO DO DISTRIBUIDOR;PPL700-PC11;LASER;1;;;;;;;
;53;1;47,169911;72,5855;#430-2,0-1000068;SUPORTE ESQUERDO DISTRIBUIDOR;PPL700-PC12;LASER;1;;;;;;;
;54;4;25;87,569899;#430-2,0-1000068;SUPORTE DISTR. GµS QUEIMADOR L700;PPL700-PC19;LASER;4;;;;;;;
;55;1;135,699542;108,545029;#430-2,0-1000068;SUPORTE DIR. SISTEMA DE ACENDIMENTO L700;PPL700-PC21;LASER;1;;;;;;;
;56;1;135,699542;108,545029;#430-2,0-1000068;SUPORTE ESQ. SISTEMA DE ACENDIMENTO L700;PPL700-PC22;LASER;1;;;;;;;
;57;1;309,568654;716;#430-2,0-1000068;TRAVESSA FRONTA SUPERIOR;S150207-PC01;LASER;1;;;;;;;
;58;1;662;123,6;#430-2,0-1000060;LAT. DIR. TAMPO DA CHAPA ;PPL700-PC13;LASER;1;;;;;;;
;59;1;662;123,6;#430-2,0-1000060;LAT. ESQ. TAMPO DA CHAPA;PPL700-PC14;LASER;1;;;;;;;
;60;2;57,736529;200;#430-1,2-1000057;SUPORTE FIX. FRONTAL TAMPO L700;PPL700-PC03;LASER;2;;;;;;;
;61;1;716;114,462661;#430-2,0-1000068;FECHAMENTO POSTERIOR DO TAMPO;S150207-PC03;LASER;1;;;;;;;
;62;1;274,52764;716;#430-1,2-1000057;PAINEL CHAPA/BROILER 720MM L700;PPL700-PC18;LASER;1;;;;;;;
